"ITEM","DEPT","CLASS","SUBCLASS","STANDARD_UOM"
"791222706121","500","662","1646","EA"
"791222706145","500","662","1646","EA"
"791222712726","500","662","1646","EA"
"791222715901","500","662","1646","EA"
"791222717165","500","662","1646","EA"
"791222717196","500","662","1646","EA"
"791222718186","500","662","1646","EA"
"843562450087","500","662","1650","EA"
"8435624501152","500","662","1650","EA"
"8435624501237","500","662","1650","EA"
"8435624501299","500","662","1650","EA"
"785364130470","500","662","1650","EA"
"785364140837","500","662","1650","EA"
"785364200425","500","662","1650","EA"
"785364200500","500","662","1650","EA"
"785364600263","500","662","1650","EA"
"791222233030","500","662","1650","EA"
"791222706176","500","662","1650","EA"
"791222717189","500","662","1649","EA"
"791222717202","500","662","1649","EA"
"736150146847","500","662","1646","EA"
"736150146854","500","662","1646","EA"
"736150146861","500","662","1646","EA"
"791222233528","500","662","1650","EA"
"791222322925","500","662","1650","EA"
"791222704394","500","662","1650","EA"
"791222706138","500","662","1650","EA"
"791222706152","500","662","1650","EA"
"791222706169","500","662","1650","EA"
"685428027190","500","662","1648","EA"
"685428027411","500","662","1648","EA"
"685428027626","500","662","1648","EA"
"685428027961","500","662","1648","EA"
"685428027985","500","662","1648","EA"
"736150151469","500","662","1646","EA"
"736150154156","500","662","1646","EA"
"736150154316","500","662","1646","EA"
"736150155528","500","662","1646","EA"
"736150163462","500","662","1646","EA"
"736150163530","500","662","1646","EA"
"791222231500","500","662","1646","EA"
"791222650189","500","662","1646","EA"
"791222681121","500","662","1646","EA"
"854924004855","500","662","1648","EA"
"854924004992","500","662","1648","EA"
"857032008784","500","662","1648","EA"
"834893004759","500","662","1650","EA"
"834893010941","500","662","1650","EA"
"834893011726","500","662","1650","EA"
"834893012334","500","662","1650","EA"
"842738106858","500","662","1650","EA"
"842738106865","500","662","1650","EA"
"842738106896","500","662","1650","EA"
"033300077007","500","662","1650","EA"
"033300088003","500","662","1650","EA"
"066615103215","500","662","1650","EA"
"067546100298","500","662","1650","EA"
"082223010042","500","662","1650","EA"
"090205025410","500","662","1650","EA"
"099900012008","500","662","1650","EA"
"814309022713","500","662","1646","EA"
"814309211315","500","662","1646","EA"
"814309225404","500","662","1646","EA"
"814309875128","500","662","1646","EA"
"815985021304","500","662","1646","EA"
"816248021499","500","662","1646","EA"
"816248022441","500","662","1646","EA"
"816248022489","500","662","1646","EA"
"816248022533","500","662","1646","EA"
"816248022571","500","662","1646","EA"
"816248024810","500","662","1646","EA"
"816248024834","500","662","1646","EA"
"817023026449","500","662","1648","EA"
"819204010629","500","662","1648","EA"
"819204013354","500","662","1648","EA"
"840035200392","500","662","1648","EA"
"840035200927","500","662","1648","EA"
"840035220383","500","662","1648","EA"
"840035220475","500","662","1648","EA"
"850006566112","500","662","1648","EA"
"850018802345","500","662","1648","EA"
"850018802628","500","662","1648","EA"
"8100814940904","500","662","1648","EA"
"8100814941062","500","662","1648","EA"
"810081494113","500","662","1648","EA"
"8100814941130","500","662","1648","EA"
"810081495912","500","662","1648","EA"
"810374022290","500","662","1648","EA"
"811913016947","500","662","1648","EA"
"811913017081","500","662","1648","EA"
"812025019703","500","662","1650","EA"
"813269020784","500","662","1650","EA"
"813269023501","500","662","1650","EA"
"813269025345","500","662","1650","EA"
"813269027189","500","662","1650","EA"
"813269027646","500","662","1650","EA"
"813269028230","500","662","1650","EA"
"814309022164","500","662","1650","EA"
"814309022171","500","662","1650","EA"
"814309022188","500","662","1650","EA"
"817023025060","500","662","1648","EA"
"8170230257702","500","662","1648","EA"
"817237302957","500","662","1650","EA"
"817237789451","500","662","1650","EA"
"817237879893","500","662","1650","EA"
"810374025307","500","662","1648","EA"
"810374025376","500","662","1648","EA"
"810374025642","500","662","1648","EA"
"810374025871","500","662","1648","EA"
"810374026243","500","662","1648","EA"
"809280116209","500","662","1650","EA"
"809280117367","500","662","1650","EA"
"810374024324","500","662","1648","EA"
"809280118142","500","662","1650","EA"
"5060280375446","500","662","1650","EA"
"5060280375996","500","662","1650","EA"
"5060280376016","500","662","1650","EA"
"010000001006","500","662","1650","EA"
"020714493462","500","662","1650","EA"
"022200011006","500","662","1650","EA"
"818262020571","500","662","1650","EA"
"818262020625","500","662","1650","EA"
"818262021004","500","662","1650","EA"
"818262021028","500","662","1650","EA"
"818262022537","500","662","1650","EA"
"819869021299","500","662","1650","EA"
"827854004271","500","662","1650","EA"
"834893003196","500","662","1650","EA"
"834893003837","500","662","1650","EA"
"834893004193","500","662","1650","EA"
"817237010906","500","662","1650","EA"
"817237010951","500","662","1650","EA"
"817237011453","500","662","1650","EA"
"817237014089","500","662","1650","EA"
"809280118227","500","662","1650","EA"
"809280120558","500","662","1650","EA"
"809280138379","500","662","1650","EA"
"809280146374","500","662","1650","EA"
"810032190033","500","662","1650","EA"
"810045751429","500","662","1650","EA"
"811239030641","500","662","1650","EA"
"811239031051","500","662","1650","EA"
"811239031617","500","662","1650","EA"
"891222705015","500","662","1649","EA"
"791222723951","500","662","1646","EA"
"791222726235","500","662","1646","EA"
"800044215817","500","662","1646","EA"
"809280112539","500","662","1646","EA"
"810045751405","500","662","1646","EA"
"812025018157","500","662","1650","EA"
"791222718216","500","662","1646","EA"
"791222718223","500","662","1646","EA"
"791222718230","500","662","1646","EA"
"791222718544","500","662","1646","EA"
"791222718902","500","662","1646","EA"
"791222718933","500","662","1646","EA"
"791222718940","500","662","1646","EA"
"811992015466","500","662","1646","EA"
"812329024403","500","662","1646","EA"
"814309003484","500","662","1646","EA"
"814309021334","500","662","1646","EA"
"814309021341","500","662","1646","EA"
"814309021358","500","662","1646","EA"
"814309022232","500","662","1646","EA"
"791222720592","500","662","1646","EA"
"791222720899","500","662","1646","EA"
"791222723906","500","662","1646","EA"
"791222723913","500","662","1646","EA"
"791222723920","500","662","1646","EA"
"791222723937","500","662","1646","EA"
"791222723944","500","662","1646","EA"
"810374026441","500","662","1648","EA"
"810374026724","500","662","1648","EA"
"810374028025","500","662","1648","EA"
"810374029527","500","662","1648","EA"
"8103740298170","500","662","1648","EA"
"811913013663","500","662","1648","EA"
"811913015209","500","662","1648","EA"
"811913015285","500","662","1648","EA"
"811913015292","500","662","1648","EA"
"811913015308","500","662","1648","EA"
"811913016800","500","662","1648","EA"
"811913017418","500","662","1648","EA"
"811913017579","500","662","1648","EA"
"811913017937","500","662","1648","EA"
"811913017999","500","662","1648","EA"
"811913018934","500","662","1648","EA"
"815305020765","500","662","1648","EA"
"815305028457","500","662","1648","EA"
"8170230200654","500","662","1648","EA"
"8170230200722","500","662","1648","EA"
"817023021222","500","662","1648","EA"
"817023023233","500","662","1648","EA"
"817023023745","500","662","1648","EA"
"809280111112","500","662","1650","EA"
"809280114335","500","662","1650","EA"
"809280115226","500","662","1650","EA"
"814309021136","500","662","1649","EA"
"814309021143","500","662","1649","EA"
"791222681268","500","662","1646","EA"
"791222681275","500","662","1646","EA"
"791222681404","500","662","1646","EA"
"791222715116","500","662","1650","EA"
"791222717172","500","662","1650","EA"
"791222718926","500","662","1650","EA"
"791222718964","500","662","1650","EA"
"791222726129","500","662","1650","EA"
"8028713529092","500","662","1650","EA"
"791222681251","500","662","1646","EA"
"685428028005","500","662","1648","EA"
"685428028302","500","662","1648","EA"
"685428030329","500","662","1648","EA"
"7290011521035","500","662","1648","EA"
"7290011521103","500","662","1648","EA"
"7290011521721","500","662","1648","EA"
"7290013627490","500","662","1648","EA"
"7290017463469","500","662","1648","EA"
"8028713529122","500","662","1650","EA"
"809280013874","500","662","1650","EA"
"809280108600","500","662","1650","EA"
"8028713529108","500","662","1650","EA"
"7290113141544","500","662","1648","EA"
"7290113142992","500","662","1648","EA"
"7290113143166","500","662","1648","EA"
"790113142963","500","662","1648","EA"
"805952800612","500","662","1648","EA"
"791222706183","500","662","1650","EA"
"670959116338","500","662","1646","EA"
"6709591163388","500","662","1646","EA"
"6709591163395","500","662","1646","EA"
"670959511751","500","662","1646","EA"
"670959512116","500","662","1646","EA"
"656509807338","500","662","1646","EA"
"670959805027","500","662","1646","EA"
"670959805034","500","662","1646","EA"
"3338221000729","500","662","1648","EA"
"3338221001740","500","662","1648","EA"
"3338221100177","500","662","1648","EA"
"3338221102010","500","662","1648","EA"
"339493483954","500","662","1648","EA"
"3760041751299","500","662","1648","EA"
"3760041751305","500","662","1648","EA"
"3760041751343","500","662","1648","EA"
"3700076444742","101","159","1147","EA"
"3700076444759","101","159","1147","EA"
"3700076444766","101","159","1147","EA"
"3700076444797","101","159","1147","EA"
"194250018585","107","150","1102","EA"
"3700076446913","101","154","1119","EA"
"3700076446920","101","154","1119","EA"
"194250018608","107","150","1102","EA"
"3700076444803","101","159","1147","EA"
"3700076444810","101","159","1147","EA"
"3700076445053","101","159","1147","EA"
"3700076445060","101","159","1147","EA"
"3700076445077","101","159","1147","EA"
"3700076445084","101","159","1147","EA"
"194250043020","107","150","1102","EA"
"3700076446937","101","154","1119","EA"
"194250043068","107","150","1102","EA"
"3700076446944","101","154","1119","EA"
"194251136264","108","150","1104","EA"
"194251136271","108","150","1104","EA"
"3700076445107","101","159","1147","EA"
"3380810596199","300","363","1339","EA"
"3522930003304","300","363","1339","EA"
"3605970003845","308","457","1427","EA"
"3605970217525","308","451","1403","EA"
"3605970879334","308","364","1341","EA"
"3605970882259","308","351","1303","EA"
"3605972482976","308","368","1350","EA"
"3700194722999","308","368","1350","EA"
"3522930000297","300","351","1303","EA"
"3522931002344","300","351","1303","EA"
"3380814426812","300","159","1143","EA"
"3380814432011","300","159","1143","EA"
"3380814432110","300","159","1143","EA"
"3380810279481","300","159","1149","EA"
"3380810279498","300","159","1149","EA"
"3380810279504","300","159","1149","EA"
"3380810279511","300","159","1149","EA"
"008080123985","205","369","1358","EA"
"3380810040227","300","355","1314","EA"
"3380810040265","300","355","1314","EA"
"3380810040692","300","356","1319","EA"
"3380810045215","300","355","1314","EA"
"3380810045345","300","355","1314","EA"
"3380810047851","300","552","1507","EA"
"3380810109009","300","355","1314","EA"
"3380810109016","300","355","1366","EA"
"3380810163483","300","355","1314","EA"
"008080045997","205","369","1355","EA"
"008080046000","205","369","1355","EA"
"008080051219","205","369","1355","EA"
"008080062321","205","369","1355","EA"
"3380810194784","300","355","1314","EA"
"3380810194791","300","355","1314","EA"
"3380810194814","300","355","1314","EA"
"3380810194821","300","355","1314","EA"
"3380810288087","300","355","1366","EA"
"3380810288094","300","355","1314","EA"
"3365440197763","101","159","1147","EA"
"3365440197831","101","159","1147","EA"
"3365440198043","101","159","1147","EA"
"020714922610","101","159","1147","EA"
"020714922665","101","159","1147","EA"
"020714922689","101","159","1147","EA"
"3700076451092","101","159","1143","EA"
"020714000929","101","153","1116","EA"
"020714002022","101","153","1116","EA"
"194251004488","108","151","1107","EA"
"3365440204362","101","159","1147","EA"
"3365440237612","101","159","1147","EA"
"3365440237681","101","159","1147","EA"
"020714922696","101","159","1147","EA"
"020714922740","101","159","1147","EA"
"3700076435078","101","159","1147","EA"
"3700076435085","101","159","1147","EA"
"020714002299","101","153","1116","EA"
"194251002965","108","152","1110","EA"
"020714048914","101","153","1116","EA"
"194251002989","108","152","1110","EA"
"3380810303018","300","355","1314","EA"
"3380811094106","300","355","1314","EA"
"3380810045246","300","360","1332","EA"
"3380810506198","300","363","1339","EA"
"008080124005","205","368","1350","EA"
"008080124463","205","368","1350","EA"
"008080124500","205","364","1341","EA"
"008080125996","205","368","1350","EA"
"3380811096193","300","552","1507","EA"
"3380811243108","300","356","1368","EA"
"3380813064107","300","355","1366","EA"
"3522930000976","300","252","1220","EA"
"3522930000990","300","252","1220","EA"
"008080091611","205","364","1341","EA"
"008080091635","205","368","1350","EA"
"008080062338","205","369","1358","EA"
"008080069986","205","369","1355","EA"
"008080091581","205","369","1355","EA"
"008080107848","205","369","1355","EA"
"008080135483","205","364","1341","EA"
"008080093158","205","364","1341","EA"
"008080093219","205","364","1341","EA"
"008080093233","205","364","1341","EA"
"3522930001331","300","368","1352","EA"
"3522930001379","300","355","1314","EA"
"3522930001621","300","355","1314","EA"
"008080107862","205","369","1355","EA"
"008080107947","205","369","1355","EA"
"008080107985","205","369","1355","EA"
"008080152183","205","369","1355","EA"
"008080152220","205","369","1355","EA"
"008080129635","205","368","1350","EA"
"008080129659","205","369","1358","EA"
"008080129673","205","369","1355","EA"
"3522930001836","300","252","1220","EA"
"3522930001898","300","355","1314","EA"
"3522930001904","300","355","1314","EA"
"3522930002208","300","355","1314","EA"
"3522930002543","300","252","1223","EA"
"3522930002574","300","355","1314","EA"
"3522930003366","300","355","1314","EA"
"3522930003373","300","355","1314","EA"
"3380810045123","300","355","1314","EA"
"3380810149678","300","356","1320","EA"
"3380810272284","300","356","1320","EA"
"3380811097107","300","355","1314","EA"
"3522930002598","300","355","1314","EA"
"3522931003457","300","356","1320","EA"
"3522931003549","300","356","1320","EA"
"3770025384009","300","356","1320","EA"
"3380814072002","300","156","1130","EA"
"3380814072101","300","156","1130","EA"
"195893305391","305","365","1342","EA"
"196852394685","305","353","1309","EA"
"3522930001102","300","356","1320","EA"
"3522930001126","300","355","1314","EA"
"196852552542","305","651","1603","EA"
"196852677887","305","353","1309","EA"
"3522930002109","300","355","1314","EA"
"194251003009","108","152","1110","EA"
"194251006659","108","151","1107","EA"
"194251026015","108","150","1103","EA"
"3614271280138","101","159","1147","EA"
"194251000312","108","159","1147","EA"
"3614271280237","101","159","1147","EA"
"194251000336","108","159","1147","EA"
"020714672164","101","351","1303","EA"
"027131987840","101","351","1303","EA"
"020714984236","101","352","1306","EA"
"040232291739","106","159","1147","EA"
"027131431305","101","352","1306","EA"
"040232291746","106","159","1147","EA"
"027131781745","101","352","1306","EA"
"040232291753","106","159","1147","EA"
"027131987857","101","351","1303","EA"
"027131877363","101","352","1306","EA"
"040232291760","106","159","1147","EA"
"037182654752","101","156","1130","EA"
"040232291777","106","159","1147","EA"
"037182654769","101","156","1130","EA"
"194250043082","107","150","1102","EA"
"194250043129","107","150","1102","EA"
"194250043143","107","150","1102","EA"
"3700076433029","101","155","1126","EA"
"194250043167","107","150","1102","EA"
"3700076447088","101","159","1147","EA"
"3700076447712","101","159","1147","EA"
"3700076447859","101","159","1147","EA"
"3700076433043","101","155","1126","EA"
"3700076433050","101","155","1126","EA"
"194250050714","107","151","1105","EA"
"3700076433067","101","155","1126","EA"
"3700076433074","101","155","1126","EA"
"040232024078","106","156","1172","EA"
"040232024085","106","156","1172","EA"
"040232024092","106","156","1172","EA"
"3700076447866","101","159","1147","EA"
"3700076447873","101","159","1147","EA"
"3700076435467","101","155","1126","EA"
"3700076455663","101","155","1126","EA"
"3700076455670","101","155","1126","EA"
"3522931002528","300","356","1320","EA"
"3522931026678","300","356","1320","EA"
"3522931002221","300","355","1314","EA"
"3522931002733","300","355","1314","EA"
"3522931003570","300","355","1314","EA"
"3522932002589","300","369","1355","EA"
"182289000077","300","352","1306","EA"
"3522930003335","300","355","1314","EA"
"3522931003006","300","355","1314","EA"
"1516912001114","302","362","1337","EA"
"008600075039","300","159","1150","EA"
"099999000399","306","352","1305","EA"
"3380810006681","300","356","1320","EA"
"3380810013252","300","356","1320","EA"
"3380810108996","300","356","1320","EA"
"3380810149661","300","356","1320","EA"
"3380810185249","300","152","1111","EA"
"099999000412","306","352","1370","EA"
"3380810185348","300","152","1111","EA"
"3380810185362","300","152","1111","EA"
"3380810185379","300","152","1111","EA"
"3380810205923","300","359","1327","EA"
"3380810234473","300","156","1130","EA"
"182289000008","300","356","1316","EA"
"3380810234480","300","156","1130","EA"
"3380810234510","300","156","1130","EA"
"3380810234602","300","156","1130","EA"
"040232008276","106","159","1148","EA"
"040232008283","106","159","1148","EA"
"040232008290","106","159","1148","EA"
"3760229890772","104","161","1155","EA"
"040232291784","106","159","1147","EA"
"037182654776","101","156","1130","EA"
"040232291791","106","159","1147","EA"
"037182654783","101","156","1130","EA"
"037182654936","101","156","1130","EA"
"037182654943","101","156","1130","EA"
"027131988083","101","351","1303","EA"
"194251075945","108","152","1112","EA"
"194251075969","108","152","1112","EA"
"040232291807","106","159","1147","EA"
"037182654790","101","156","1130","EA"
"040232401053","106","159","1147","EA"
"037182654806","101","156","1130","EA"
"194251070865","108","156","1130","EA"
"194250010954","107","156","1130","EA"
"020714760199","101","156","1129","EA"
"040232008306","106","159","1148","EA"
"3700076455687","101","155","1126","EA"
"040232024108","106","156","1172","EA"
"040232024115","106","156","1172","EA"
"3700076447880","101","159","1147","EA"
"3700076446876","101","154","1119","EA"
"040232024122","106","156","1172","EA"
"040232024139","106","156","1172","EA"
"040232024146","106","156","1172","EA"
"194250018462","107","150","1102","EA"
"3700076446883","101","154","1119","EA"
"040232024177","106","156","1172","EA"
"194251039480","108","352","1306","EA"
"194250018486","107","150","1102","EA"
"194250018509","107","150","1102","EA"
"3700076446890","101","154","1119","EA"
"194250018523","107","150","1102","EA"
"3700076446906","101","154","1119","EA"
"040232024184","106","156","1172","EA"
"194250050738","107","151","1105","EA"
"194250050752","107","151","1105","EA"
"3380810279535","300","159","1149","EA"
"3380810279542","300","159","1149","EA"
"3380810284386","300","159","1149","EA"
"182289000060","300","355","1314","EA"
"195893475407","300","356","1320","EA"
"3605970710217","308","454","1428","EA"
"3605971316760","308","359","1328","EA"
"3605971354960","308","359","1328","EA"
"3605971355301","308","359","1328","EA"
"3605971429224","308","356","1318","EA"
"3605971634901","308","359","1328","EA"
"020714781330","101","155","1125","EA"
"020714979089","101","164","1174","EA"
"020714979133","101","164","1174","EA"
"027131495284","101","164","1174","EA"
"020714080501","101","164","1175","EA"
"027131771944","101","164","1174","EA"
"040232008467","106","150","1101","EA"
"020714781279","101","155","1125","EA"
"1230000028165","302","652","1607","EA"
"191677200920","302","363","1339","EA"
"191677296831","302","363","1339","EA"
"100000100134","303","362","1337","EA"
"195893098132","300","356","1320","EA"
"191677296800","302","369","1355","EA"
"1230000028028","302","652","1607","EA"
"1230000028035","302","652","1607","EA"
"1230000028042","302","652","1607","EA"
"191677200869","302","368","1352","EA"
"191677209039","302","356","1319","EA"
"3522932003654","300","368","1350","EA"
"182289000190","300","356","1320","EA"
"020714781378","101","155","1125","EA"
"040232185373","106","150","1101","EA"
"040232185380","106","150","1101","EA"
"040232185519","106","151","1105","EA"
"040232185526","106","151","1105","EA"
"040232008313","106","159","1148","EA"
"040232008320","106","159","1148","EA"
"194251075983","108","152","1112","EA"
"3700076458794","101","154","1121","EA"
"194251076997","108","152","1112","EA"
"3700076458800","101","154","1121","EA"
"194251136707","108","151","1107","EA"
"3700076458817","101","154","1121","EA"
"194251136714","108","151","1107","EA"
"3700076458824","101","154","1121","EA"
"194251136721","108","151","1107","EA"
"020714125349","101","154","1121","EA"
"194251136738","108","151","1107","EA"
"040232401060","106","159","1147","EA"
"037182654813","101","156","1130","EA"
"040232401077","106","159","1147","EA"
"037182654837","101","156","1130","EA"
"194251070889","108","156","1130","EA"
"194250010978","107","156","1130","EA"
"020714760205","101","156","1129","EA"
"194251070902","108","156","1130","EA"
"191677280168","302","250","1204","EA"
"191677200814","302","364","1341","EA"
"191677200821","302","368","1350","EA"
"3380810232486","300","356","1318","EA"
"3380811241104","300","351","1303","EA"
"3522930000785","302","368","1350","EA"
"3380810329902","300","368","1352","EA"
"079245860564","302","369","1355","EA"
"3380810511154","300","368","1352","EA"
"3380810221763","300","556","1519","EA"
"3380810512106","300","368","1352","EA"
"3380810592108","300","369","1357","EA"
"3380812804100","300","252","1221","EA"
"3380813033103","300","354","1310","EA"
"3522930000082","300","356","1319","EA"
"3522930001089","300","368","1352","EA"
"3522930002314","300","356","1321","EA"
"3380810232370","300","351","1303","EA"
"040232008474","106","150","1101","EA"
"020714781286","101","155","1125","EA"
"040232008481","106","150","1101","EA"
"020714781293","101","155","1125","EA"
"040232008498","106","150","1101","EA"
"020714781316","101","155","1125","EA"
"040232024191","106","157","1134","EA"
"192333128695","101","153","1116","EA"
"192333128701","101","153","1116","EA"
"192333128671","101","153","1116","EA"
"192333128688","101","153","1116","EA"
"192333128718","101","153","1116","EA"
"192333128725","101","153","1116","EA"
"040232008535","106","155","1125","EA"
"040232008542","106","155","1125","EA"
"040232008559","106","155","1125","EA"
"040232008566","106","155","1125","EA"
"020714009502","101","154","1121","EA"
"040232008573","106","155","1125","EA"
"020714009519","101","154","1121","EA"
"040232008580","106","155","1125","EA"
"3614272609532","101","159","1147","EA"
"020714066321","101","156","1129","EA"
"020714066345","101","156","1129","EA"
"3700076449815","101","152","1112","EA"
"3700076449822","101","152","1112","EA"
"3700076449839","101","152","1112","EA"
"3700076449846","101","152","1112","EA"
"3700076449853","101","152","1112","EA"
"3700076449860","101","152","1112","EA"
"3700076449877","101","152","1112","EA"
"194250000368","107","152","1110","EA"
"020714456504","101","154","1121","EA"
"194250000382","107","152","1110","EA"
"020714529161","101","154","1121","EA"
"194250000146","107","152","1110","EA"
"040232185502","106","155","1125","EA"
"020714157647","101","159","1144","EA"
"194250000184","107","152","1110","EA"
"040232291654","106","155","1125","EA"
"020714157654","101","159","1144","EA"
"194250000207","107","152","1110","EA"
"040232291661","106","155","1125","EA"
"194250011012","107","156","1130","EA"
"020714760212","101","156","1129","EA"
"040232008337","106","159","1148","EA"
"192333102749","101","352","1306","EA"
"020714236922","101","154","1121","EA"
"037182655049","101","351","1303","EA"
"040232401084","106","159","1147","EA"
"037182654844","101","156","1130","EA"
"040232401114","106","159","1147","EA"
"194251070926","108","156","1130","EA"
"194250011036","107","156","1130","EA"
"020714801267","101","156","1129","EA"
"194251070940","108","156","1130","EA"
"194251136745","108","151","1107","EA"
"020714236946","101","154","1121","EA"
"194251136752","108","151","1107","EA"
"020714236960","101","154","1121","EA"
"194251136769","108","151","1107","EA"
"037182654851","101","156","1130","EA"
"040232401121","106","159","1147","EA"
"3700076440690","101","159","1144","EA"
"3380811183107","300","358","1325","EA"
"3522930001874","300","352","1305","EA"
"3522930003199","300","356","1319","EA"
"3380811420103","300","556","1519","EA"
"182289000046","300","351","1303","EA"
"191677280076","302","250","1204","EA"
"3522930010180","300","356","1319","EA"
"3522931002276","300","358","1325","EA"
"3522931002290","300","351","1303","EA"
"3522931002696","300","356","1319","EA"
"182289000909","300","352","1307","EA"
"191677280090","302","250","1204","EA"
"3380810501193","300","354","1310","EA"
"3522930000228","300","351","1303","EA"
"191677280113","302","250","1204","EA"
"191677280137","302","250","1204","EA"
"191677280151","302","250","1204","EA"
"191677344334","302","368","1351","EA"
"191677344341","302","362","1337","EA"
"3614272609549","101","159","1147","EA"
"3614272609556","101","159","1147","EA"
"3614272609563","101","159","1147","EA"
"3614272609570","101","159","1147","EA"
"192333129272","101","154","1119","EA"
"192333129296","101","154","1119","EA"
"040232008504","106","155","1125","EA"
"040232008511","106","155","1125","EA"
"040232008528","106","155","1125","EA"
"3614272609471","101","159","1147","EA"
"3614272609488","101","159","1147","EA"
"3614272609495","101","159","1147","EA"
"3614272609518","101","159","1147","EA"
"3614272609525","101","159","1147","EA"
"194250000771","107","152","1112","EA"
"020714755331","101","159","1144","EA"
"020714755348","101","159","1144","EA"
"020714757809","101","159","1144","EA"
"020714757816","101","159","1144","EA"
"020714757823","101","159","1144","EA"
"020714757830","101","159","1144","EA"
"020714996963","101","154","1121","EA"
"020714996970","101","154","1121","EA"
"020714996987","101","154","1121","EA"
"020714996994","101","154","1121","EA"
"3700076448894","101","368","1352","EA"
"020714002527","101","356","1318","EA"
"020714080310","101","252","1219","EA"
"020714156893","101","252","1220","EA"
"020714238537","101","552","1507","EA"
"020714336615","101","359","1328","EA"
"020714576219","101","359","1328","EA"
"020714612764","101","355","1314","EA"
"020714649562","101","355","1314","EA"
"020714881429","101","252","1220","EA"
"020714999346","101","250","1208","EA"
"027131009306","101","358","1325","EA"
"027131576938","101","368","1350","EA"
"192333011652","101","355","1314","EA"
